"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_PG0001","ACCT_PP0037","ACCT_PP0038","ACCT_PP0039","ACCT_PP0040","ACCT_PP0041","ACCT_PP0042","ACCT_PP0043","ACCT_PP0044","ACCT_PP0045","ACCT_PP0046","ACCT_PP0047","ACCT_PP0048","ACCT_PR0001","ACCT_PR0002","ACCT_PR0003","ACCT_PR0004","BoardAsianAmerican","BoardBlackAmerican","BoardHispanicAmerican","BoardMinorityStatus","BoardNativeAmerican","CurMemAsianAmerican","CurMemBlackAmerican","CurMemHispanicAmerican","CurMemMinorityStatus","CurMemNativeAmerican","EligibleMinorityStatus","FOMAsianAmerican","FOMBlackAmerican","FOMHispanicAmerican","FOMMinorityStatus","FOMNativeAmerican","MemberMinorityStatus"
2498,3/31/2026 0:00:00,1161,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","1","","1","","","","1","","1","",""
2505,3/31/2026 0:00:00,1163,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","1","1","","","1","","1","","","","1","1","1","",""
2507,3/31/2026 0:00:00,1164,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2508,3/31/2026 0:00:00,1165,"254900FT90P3VNCXMZ53","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","","","","","","","","","","","","","","","","","",""
2535,3/31/2026 0:00:00,1178,"549300KZVNU4UKZSWD59","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb  5 2025  5:00AM","","","","","","","","","","","","","","","","",""
2540,3/31/2026 0:00:00,1181,"5493004XJV6Y8XQYPX87","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","Feb 20 2026  5:00AM","","","","","","","","","","","","","","","","",""
2551,3/31/2026 0:00:00,1184,"54930063XGNMIXS57091","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 31 2026  5:00AM","","","","","","","","","","","","","","","","",""
2562,3/31/2026 0:00:00,1188,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","1","","","1","","1","","","1","","","1","","","1","",""
2574,3/31/2026 0:00:00,1196,"549300VFP60F9IJ2SQ62","1","0","0","0","1","0","0","0","0","0","0","0","1","1","1","Feb 28 2025  5:00AM","","","","","","","","","","","","","","","","",""
2577,3/31/2026 0:00:00,1199,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","1","1","","","","1","1","","","","","1","1","",""
2583,3/31/2026 0:00:00,1203,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2585,3/31/2026 0:00:00,1204,"549300O86UUZZGSLX538","1","0","0","0","0","0","0","0","1","0","0","0","1","1","1","Jan 28 2026  6:00AM","","","","","","","","","","","","","","","","",""
2612,3/31/2026 0:00:00,1217,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2617,3/31/2026 0:00:00,1220,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2625,3/31/2026 0:00:00,1223,"","1","1","1","0","0","0","0","0","1","0","1","0","1","1","","","","","","","","","","","","","","","","","","",""
2641,3/31/2026 0:00:00,1230,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2643,3/31/2026 0:00:00,1231,"254900NSJ1ASOONUCL94","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 26 2026  6:00AM","","","","","","","","","","","","","","","","",""
2644,3/31/2026 0:00:00,1232,"549300E2QBYW1NW41140","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","Jan 16 2026  5:00AM","","","","","","","","","","","","","","","","",""
2645,3/31/2026 0:00:00,1233,"","1","1","0","1","1","0","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2657,3/31/2026 0:00:00,1238,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2658,3/31/2026 0:00:00,1239,"549300NBSU5FHMDN5F74","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2682,3/31/2026 0:00:00,1248,"","1","1","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2705,3/31/2026 0:00:00,1257,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","1","","","","",""
2711,3/31/2026 0:00:00,1261,"","1","0","1","0","0","0","0","1","1","0","0","0","","","","","","1","","1","","","1","","1","","","","1","","1","",""
2713,3/31/2026 0:00:00,1262,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","1","","","1","","1","","","1","","","1","","","1","",""
2730,3/31/2026 0:00:00,1269,"5493002QI5QUDX4RGW52","1","1","1","0","1","0","0","0","1","0","0","0","1","1","1","Feb 28 2025  8:00AM","","","","","","","","","","","","","","","","",""
2740,3/31/2026 0:00:00,1275,"254900PQN88DET52I724","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 20 2026  5:00AM","","","","","","","","","","","","","","","","",""
2742,3/31/2026 0:00:00,1276,"549300754PTUH541X764","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2744,3/31/2026 0:00:00,1277,"549300552HVITY0L9184","1","1","0","0","1","0","0","0","0","0","0","0","1","1","1","Feb 27 2026  6:00AM","","","","","","","","","","","","","","","","",""
2760,3/31/2026 0:00:00,1281,"549300T7DF901BR7V258","1","1","0","0","1","1","1","0","1","0","0","0","1","1","1","Feb  3 2025  5:00AM","","","","","","1","1","1","1","1","","","","","1","",""
2769,3/31/2026 0:00:00,1284,"549300XA6P3X1GTJEY80","1","1","0","1","1","1","1","0","1","0","1","0","1","1","1","Mar 31 2025  4:00AM","","1","","1","","","1","","1","","","","1","","1","",""
2782,3/31/2026 0:00:00,1289,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2791,3/31/2026 0:00:00,1294,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","1","1","1","1","1","","1","","1","","","","1","","1","",""
2792,3/31/2026 0:00:00,1295,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2796,3/31/2026 0:00:00,1298,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2800,3/31/2026 0:00:00,1300,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2806,3/31/2026 0:00:00,1302,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2815,3/31/2026 0:00:00,1307,"","1","1","1","1","1","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2818,3/31/2026 0:00:00,1308,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2819,3/31/2026 0:00:00,1309,"","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
2834,3/31/2026 0:00:00,1317,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2840,3/31/2026 0:00:00,1319,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2847,3/31/2026 0:00:00,1323,"549300EB335VA0W9HB45","1","0","1","0","0","0","0","0","1","0","1","0","1","1","1","Mar 15 2024  6:00AM","","","","","","","","","","","","","","","","",""
2874,3/31/2026 0:00:00,1334,"549300MM52W3C4U18L74","1","1","0","0","0","0","0","0","0","1","0","0","1","1","1","Jan 27 2026  6:00AM","","","","","","","","","","","","","","","","",""
2876,3/31/2026 0:00:00,1335,"254900LP2WHZQ61VBS60","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Mar  2 2026  6:00AM","1","1","1","1","1","","","","","","","","","","","",""
2881,3/31/2026 0:00:00,1338,"549300BJPOL64WXEFY56","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","Jan 28 2025  7:00AM","","","","","","","","","","","","","","","","",""
2892,3/31/2026 0:00:00,1340,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","1","","1","","","","1","","1","",""
2918,3/31/2026 0:00:00,1346,"549300YCOUKZIB6S5041","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","1","1","1","","","1","1","1","","","","1","1","1","",""
2932,3/31/2026 0:00:00,1350,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","","","","","","","1","","","",""
2935,3/31/2026 0:00:00,1351,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
2953,3/31/2026 0:00:00,1360,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","1","","","1","","1","","","1","","","1","","","1","",""
2959,3/31/2026 0:00:00,1364,"549300YZRLQQC62C3P68","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","Jan 30 2026  5:00AM","","","","","","","","","","","","","","","","",""
3006,3/31/2026 0:00:00,1382,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3012,3/31/2026 0:00:00,1383,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3025,3/31/2026 0:00:00,1389,"549300YKTME1U7Z0UN20","1","1","1","1","1","0","0","0","1","0","0","0","1","1","1","Feb 24 2026  5:00AM","","","","","","","","","","","","","","","","",""
3029,3/31/2026 0:00:00,1390,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","1","","1","","","","1","","1","",""
3050,3/31/2026 0:00:00,1399,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3056,3/31/2026 0:00:00,1401,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3061,3/31/2026 0:00:00,1402,"549300U55IW4J0F8P008","1","0","0","0","0","0","0","0","1","0","1","1","1","1","1","Jan 22 2026  6:00AM","","","","","","","","","","","","","","","","",""
3064,3/31/2026 0:00:00,1404,"","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","1","1","","","1","1","1","","","","","1","1","",""
3080,3/31/2026 0:00:00,1411,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3085,3/31/2026 0:00:00,1413,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3110,3/31/2026 0:00:00,1425,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","1","1","1","1","","","1","","1","","","1","1","1","1","",""
3120,3/31/2026 0:00:00,1429,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3126,3/31/2026 0:00:00,1433,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3130,3/31/2026 0:00:00,1435,"549300Q1YFRSB8UEGH03","1","1","1","1","1","0","1","1","1","0","1","0","1","1","1","Jan 24 2025  6:00AM","","","","","","","","","","","","","","","","",""
3140,3/31/2026 0:00:00,1437,"254900UD8AEXTVCVAF72","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 17 2026  5:00AM","","1","","1","","","1","","1","","","","1","","1","",""
3182,3/31/2026 0:00:00,1454,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3202,3/31/2026 0:00:00,1462,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3212,3/31/2026 0:00:00,1464,"89450088V2BYQUO61B62","1","0","1","0","1","0","0","1","0","0","0","0","1","1","1","Jan 31 2025  6:00AM","","","","","","","","","","","","","","","","",""
3218,3/31/2026 0:00:00,1468,"549300EIBXII5C4D4548","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 26 2026  8:00AM","","","1","1","","1","1","1","1","","","","","1","1","",""
3226,3/31/2026 0:00:00,1473,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3237,3/31/2026 0:00:00,1478,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3251,3/31/2026 0:00:00,1483,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","1","","1","","","","1","","1","",""
3256,3/31/2026 0:00:00,1485,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3264,3/31/2026 0:00:00,1489,"549300DFQK7P8BBRWA45","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 16 2026  5:00AM","","","","","","","","","","","","","","","","",""
3278,3/31/2026 0:00:00,1492,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3285,3/31/2026 0:00:00,1494,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3291,3/31/2026 0:00:00,1496,"549300YYJWBT2GH5DS80","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
3306,3/31/2026 0:00:00,1503,"549300MNGQM5SPNHQM24","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","Mar  1 2026  5:00AM","","","","","","","","","","","","","","","","",""
3316,3/31/2026 0:00:00,1505,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3323,3/31/2026 0:00:00,1511,"","1","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
3337,3/31/2026 0:00:00,1516,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3356,3/31/2026 0:00:00,1521,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3388,3/31/2026 0:00:00,1538,"","1","0","1","0","0","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3391,3/31/2026 0:00:00,1539,"","1","0","1","0","0","0","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3413,3/31/2026 0:00:00,1549,"254900HJA1Y85EJCGB90","1","1","1","0","0","0","0","1","1","0","0","0","1","1","1","Feb 28 2025  5:00AM","","","","","","","","","","","","","","","","",""
3420,3/31/2026 0:00:00,1553,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3438,3/31/2026 0:00:00,1564,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3439,3/31/2026 0:00:00,1565,"549300LY3BVZZOO7LW95","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 11 2026  5:00AM","","","","","","","","","","","","","","","","",""
3447,3/31/2026 0:00:00,1569,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3454,3/31/2026 0:00:00,1571,"549300V71V12DS7RW675","1","0","0","0","1","0","0","0","0","0","0","1","1","1","1","Feb 26 2026  6:00AM","","","","","","","","","","","","","","","","",""
3458,3/31/2026 0:00:00,1574,"549300MVYX1L50756117","1","1","1","0","0","0","0","0","1","0","1","0","1","1","1","Feb 26 2026  6:00AM","","","","","","","","","","","","","","","","",""
3462,3/31/2026 0:00:00,1576,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","","","","","","","1","","","",""
3475,3/31/2026 0:00:00,1582,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3476,3/31/2026 0:00:00,1583,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3487,3/31/2026 0:00:00,1587,"254900xncz58j8ohzo17","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 28 2025  5:00AM","","","","","","","","","","","","","","","","",""
3526,3/31/2026 0:00:00,1603,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1",""
3541,3/31/2026 0:00:00,1608,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","1","1","","","","","","","","","","","","",""
3544,3/31/2026 0:00:00,1610,"","1","0","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3551,3/31/2026 0:00:00,1613,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
3558,3/31/2026 0:00:00,1616,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3571,3/31/2026 0:00:00,1620,"","1","1","1","1","1","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3574,3/31/2026 0:00:00,1622,"","1","0","0","0","0","0","0","0","0","0","0","1","1","1","","","1","1","1","1","","1","","","1","","","1","","","1","",""
3575,3/31/2026 0:00:00,1623,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3576,3/31/2026 0:00:00,1624,"5493003ST36V2G6YFH54","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 13 2025  5:00AM","","","","","","","","","","","","","","","","",""
3601,3/31/2026 0:00:00,1631,"5493007KLU19FK8PG279","1","1","1","1","1","0","0","0","1","0","1","0","1","1","1","Mar  2 2026  5:00AM","","","","","","","","","","","","","","","","",""
3602,3/31/2026 0:00:00,1632,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3631,3/31/2026 0:00:00,1639,"549300LWP1GP6WN1YQ84","1","1","1","1","1","1","1","1","0","0","1","0","1","1","1","Feb 18 2026  5:00AM","","","","","","","","","","","","","","","","",""
3633,3/31/2026 0:00:00,1640,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
3655,3/31/2026 0:00:00,1648,"2549001O702S09S4KF65","1","0","0","0","0","0","0","0","1","0","0","0","1","1","1","Feb 25 2026  5:00AM","","","","","","","","","","","","","","","","",""
3683,3/31/2026 0:00:00,1659,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3685,3/31/2026 0:00:00,1661,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3710,3/31/2026 0:00:00,1670,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3711,3/31/2026 0:00:00,1671,"549300PPIXNO2E1B5V55","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","Feb  9 2026  5:00AM","","","","","","","","","","","","","","","","",""
3720,3/31/2026 0:00:00,1674,"","1","0","0","0","0","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3736,3/31/2026 0:00:00,1682,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","1","1","","","","","","1","",""
3741,3/31/2026 0:00:00,1684,"","1","1","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3746,3/31/2026 0:00:00,1687,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3748,3/31/2026 0:00:00,1688,"","1","0","0","0","0","0","0","0","1","0","0","0","","","","","","","","","","1","1","1","1","1","","","","","1","",""
3755,3/31/2026 0:00:00,1692,"","1","1","1","1","1","0","0","1","0","0","1","0","","","","","","","","","","","","","","","","","","","","",""
3757,3/31/2026 0:00:00,1693,"549300QCV4J37OC2IL06","1","1","1","1","1","0","0","0","1","0","1","0","1","1","1","Jan 30 2026  5:00AM","","","","","","","","","","","","","","","","",""
3759,3/31/2026 0:00:00,1694,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3764,3/31/2026 0:00:00,1697,"","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","1","","1","","","1","","1","","","","1","","1","",""
3775,3/31/2026 0:00:00,1701,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3787,3/31/2026 0:00:00,1706,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3790,3/31/2026 0:00:00,1707,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","1","","1","","","","1","","1","",""
3796,3/31/2026 0:00:00,1709,"","1","0","0","0","0","0","0","0","0","0","1","0","1","1","","","","1","","1","","","","","","","","","1","","","",""
3800,3/31/2026 0:00:00,1711,"","1","1","1","1","1","0","0","1","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
3810,3/31/2026 0:00:00,1715,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3819,3/31/2026 0:00:00,1719,"25490040IBIKTOL1DJ85","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan  7 2025  5:00AM","","","","","","","","","","","","","","","","",""
3828,3/31/2026 0:00:00,1722,"","1","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
3830,3/31/2026 0:00:00,1724,"549300P1347BFCBHJV60","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","Feb 10 2025  5:00AM","","","","","","","","","","","","","","","","",""
3841,3/31/2026 0:00:00,1729,"549300LCMQJZBJE7EL26","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","Jan 31 2024  5:00AM","","","","","","","","","","","","","","","","",""
3850,3/31/2026 0:00:00,1733,"549300NPANOIK7XYK714","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 21 2026  5:00AM","","","","","","","","","","","","","","","","",""
3853,3/31/2026 0:00:00,1735,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
3868,3/31/2026 0:00:00,1740,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3869,3/31/2026 0:00:00,1741,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3907,3/31/2026 0:00:00,1755,"5493007GBJOK22LYB425","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 28 2025  6:00AM","","","","","","","","","","","","","","","","",""
3938,3/31/2026 0:00:00,1764,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","1","1","","","","","","","","","","1","","",""
3943,3/31/2026 0:00:00,1765,"549300M0SDF90SCNIY89","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 31 2025  8:00AM","","","","","","","","","","","","","","","","",""
3945,3/31/2026 0:00:00,1767,"","1","1","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
3946,3/31/2026 0:00:00,1768,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3947,3/31/2026 0:00:00,1769,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","1","1","1","","1",""
3951,3/31/2026 0:00:00,1770,"5493002P6EVQ94HFYF14","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 10 2026  5:00AM","","","","","","","","","","","","","","","","",""
3963,3/31/2026 0:00:00,1776,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
3972,3/31/2026 0:00:00,1779,"549300WRB87J6ZL6CO07","1","1","1","1","1","0","0","0","0","0","1","0","1","1","1","Feb 20 2025  7:00AM","","","","","","","","","","","","","","","","",""
4015,3/31/2026 0:00:00,1797,"549300UX6CADCIYJ3506","1","1","1","1","1","1","1","0","1","1","0","0","1","1","1","Feb 26 2026  6:00AM","1","1","1","1","","","1","1","1","","","","","1","1","",""
4020,3/31/2026 0:00:00,1799,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","1","1","","","","","","","","1","1","1","","1",""
4022,3/31/2026 0:00:00,1801,"","1","1","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
4024,3/31/2026 0:00:00,1802,"254900TFS12PFBK5FD47","1","1","1","1","1","1","1","1","1","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
4025,3/31/2026 0:00:00,1803,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
4037,3/31/2026 0:00:00,1808,"","1","1","0","0","0","0","0","1","0","0","0","0","","","","","","1","","1","","","1","","1","","","","1","","1","",""
4038,3/31/2026 0:00:00,1809,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
4043,3/31/2026 0:00:00,1811,"549300H68PK1CZUVUQ73","1","1","0","1","1","1","1","0","0","0","1","0","1","1","1","Dec 31 2025  5:00AM","","","","","","","","","","","","","","","","",""
4060,3/31/2026 0:00:00,1816,"549300HMP6CQXPB0L958","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 27 2025  6:00AM","","","1","1","","","","1","1","","","","","1","1","",""
4088,3/31/2026 0:00:00,1828,"","1","1","0","0","0","0","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
4095,3/31/2026 0:00:00,1830,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
4098,3/31/2026 0:00:00,1831,"","1","1","1","1","1","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","",""
4116,3/31/2026 0:00:00,1836,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
4118,3/31/2026 0:00:00,1837,"549300043MOZCJ4RK371","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
4120,3/31/2026 0:00:00,1838,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
4122,3/31/2026 0:00:00,1840,"5493009JZ6NIQL6RQT28","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","Mar  3 2025  7:00AM","","","","","","","","","","","","","","","","",""
4127,3/31/2026 0:00:00,1842,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
4135,3/31/2026 0:00:00,1844,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
4142,3/31/2026 0:00:00,1849,"549300IKS3MMB5YK6T18","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","Feb 28 2025  8:00AM","","","","","","","","","","","","","","","","",""
4148,3/31/2026 0:00:00,1851,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","1","1","","","","1","1","","","","","1","1","",""
4152,3/31/2026 0:00:00,1854,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
4158,3/31/2026 0:00:00,1856,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
4163,3/31/2026 0:00:00,1857,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
4164,3/31/2026 0:00:00,1858,"549300WP41C3FFSKY830","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Jan 13 2026  7:00AM","","","","","","","","","","","","","","","","",""
4170,3/31/2026 0:00:00,1860,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","1","","1","","","","1","","1","",""
4176,3/31/2026 0:00:00,1863,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
4192,3/31/2026 0:00:00,1867,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
